id|name|brand|details|price|size|is_by_weight
2070|LIMON CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29088|2.88| BOTELLA PACK 6 X 500 ML - 3000 ML|false
2071|LIMON CON GAS| SCHWEPPES|https://www.telecompra.mercadona.es/detall_producte.php?id=27761|6.72| LATA PACK 8 X 330 ML - 2640 ML|false
2072|LIMON CON GAS| SCHWEPPES|https://www.telecompra.mercadona.es/detall_producte.php?id=27762|0.85| LATA 330 ML|false
2073|NARANJA CON GAS ZERO| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27545|1.52| BOTELLA 2 L|false
2074|NARANJA CON GAS ZERO| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27510|0.5| LATA 330 ML|false
2075|NARANJA CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29042|0.33| LATA 330 ML|false
2076|NARANJA CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29041|1.98| LATA PACK 6 X 330 ML - 1980 ML|false
2077|NARANJA CON GAS ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29076|0.7| BOTELLA 2 L|false
2078|NARANJA CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27571|4.95| LATA PACK 9 X 330 ML - 2970 ML|false
2079|NARANJA CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27526|2.88| BOTELLA PACK 2 X 2 L - 4 L|false
2080|NARANJA CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27502|0.58| LATA 330 ML|false
2081|NARANJA CON GAS| FANTA|https://www.telecompra.mercadona.es/detall_producte.php?id=27508|1.52| BOTELLA 2 L|false
2082|NARANJA CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29075|0.7| BOTELLA 2 L|false
2083|NARANJA CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29063|0.48| BOTELLA 500 ML|false
2084|NARANJA CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29040|0.32| LATA 330 ML|false
2085|NARANJA CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29086|2.88| BOTELLA PACK 6 X 500 ML - 3000 ML|false
2086|NARANJA CON GAS| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=29039|1.92| LATA PACK 6 X 330 ML - 1980 ML|false
2087|BEBIDA DE ZUMO DE FRUTAS CON GAS Y SIN ALCOHOL| MAGIC|https://www.telecompra.mercadona.es/detall_producte.php?id=39702|2.1| BOTELLA 750 ML|false
2088|BEBIDA ALOE VERA NATURAL ZERO| HACENDADO|https://www.telecompra.mercadona.es/detall_producte.php?id=28546|1.35| BOTELLA 500 ML|false
2089|BEBIDA REFRESCANTE UVA TINTA Y MANZANA| YEMAVIN|https://www.telecompra.mercadona.es/detall_producte.php?id=39412|1.15| BOTELLA 1 L|false
2090|LIMONADA LIGHT SIN GAS| DON SIMON|https://www.telecompra.mercadona.es/detall_producte.php?id=28102|1.3| BOTELLA 2 L|false
